trade,band,band_label,metric,value,source,source_access,confidence,basis
hvac,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,22.4,"Construction Financial Management Association (CFMA), 2025, https://cfma.org",url,low,Specialty Trades segment average gross profit margin
hvac,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,83,"Construction Financial Management Association (CFMA), 2024, https://cfma.org",url,low,Average days sales outstanding including retainage for construction contractors
hvac,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,10,"Air Conditioning Contractors of America (ACCA), 2024, https://www.acca.org",url,low,Average maintenance agreement revenue as percentage of total revenue for HVAC contractors
hvac,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2025 https://cfma.org,url,low,Gross profit margin for Specialty Trades segment from 2025 Construction Financial Benchmarker (FY2024 data)
hvac,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,45,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,low,Average trade AR days sales outstanding for specialty trade contractors
hvac,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,20,Air Conditioning Contractors of America (ACCA) 2024 https://www.acca.org,url,med,Maintenance agreement / service contract revenue share for established $1M-$5M HVAC contractors
hvac,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,45,Air Conditioning Contractors of America (ACCA) 2024,citation-text-only,high,Median gross profit margin for HVAC contractors in the $1M to $15M revenue band
hvac,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,med,"Median cash collected as a percentage of amounts billed, n=464 companies"
hvac,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://www.docjoist.com,url,med,Average Days Sales Outstanding for specialty trade contractors (CFMA FY2023 data)
hvac,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,55,Air Conditioning Contractors of America (ACCA) 2025 https://www.thetradeagent.com,url,low,Industry-wide share of HVACR total revenue derived from recurring service agreements
hvac,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,18,"Construction Financial Management Association (CFMA), 2024, https://www.cfma.org",url,med,Midpoint benchmark (14% to 22%) for commercial mechanical contractors from CFMA Annual Financial Survey
hvac,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,57,"Construction Financial Management Association (CFMA), 2025, https://www.cfma.org",url,low,"Average Days Sales Outstanding for specialty trade contractors (HVAC, electrical, plumbing)"
hvac,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,40,"CT Acquisitions, 2026, https://www.ctacquisitions.com",url,high,Benchmark recurring service-agreement revenue share for PE-backed commercial HVAC platform contractors ($20M+ revenue band)
plumbing,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Gross profit margin percentage for Specialty Trade contractors (NAICS 238220)
plumbing,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,Level 2026 https://levelcfo.com,url,low,Median cash collection rate percentage across benchmarked trade contractors
plumbing,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Days sales outstanding (DSO) average for specialty trade contractors
plumbing,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,15,Plumbing-Heating-Cooling Contractors Association (PHCC) 2024 https://www.phccweb.org,url,high,Baseline share of total revenue from service and maintenance agreements for small plumbing shops under $1M revenue
plumbing,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 Financial Benchmarker (https://www.cfma.org),url,med,"Average gross profit margin for Specialty Trade contractors (NAICS 238220 Plumbing, Heating, and Air-Conditioning)"
