ticker,company_name,trades,currency,price,market_cap_billions,revenue_billions,return_6m_pct,return_1y_pct,return_3y_pct,return_5y_pct,market_snapshot_date,fundamentals_period,trade_relevance,market_cap_source,market_cap_source_access
AAON,"AAON, Inc.",hvac,USD,107.17,8.66,1.62,5.9,29.2,69.9,136,2026-07-23,"TTM (Q1 2026 ended March 31, 2026)","Manufactures HVAC equipment, rooftop units, chillers, cleanroom systems, and data center cooling solutions supplied to mechanical contractors and commercial HVAC skilled trades.",StockAnalysis 2026 https://stockanalysis.com/stocks/aaon/statistics,url
ABM,ABM Industries Incorporated,commercial-cleaning,USD,47.01,2.76,9.05,5.6,-4.4,3.5,-5.1,2026-07-23,Q2 2026 TTM,"Facility engineering, HVAC/mechanical, electrical, energy infrastructure, janitorial, and technical solutions for commercial, industrial, and institutional facilities",StockAnalysis 2026 https://stockanalysis.com/stocks/abm/statistics,url
ACM,AECOM,restoration,USD,67.47,8.78,15.99,-31.1,-46,-23.1,2.9,2026-07-23,TTM,"Provides infrastructure consulting, civil engineering, architecture, program management, and construction management services across transportation, water, energy, and facilities.",StockAnalysis 2026 https://stockanalysis.com/stocks/acm/statistics,url
ADT,ADT Inc.,low-voltage-security,USD,6.9,5.08,5.14,-14,-20.8,7.5,-19.4,2026-07-23,TTM (Q1 2026),"Provides electronic security system installation, low-voltage electrical wiring, fire/life safety system installation, smart home automation, and monitoring services for residential and commercial clients.",Stock Analysis 2026 https://stockanalysis.com/stocks/adt/statistics,url
AGX,"Argan, Inc.",glass-glazing,USD,610.35,8.44,1.04,35.3,167.4,1336.8,1218.3,2026-07-23,Q1 FY2027,"Engineering, procurement, construction (EPC), power plant construction, industrial field services, telecommunications and utility cabling",StockAnalysis 2026 https://stockanalysis.com/stocks/agx/statistics,url
ALLE,Allegion plc,doors-access|low-voltage-security,USD,139.95,11.9,4.16,-13.2,-17.6,23,-2.8,2026-07-23,TTM,"Locksmithing, door and hardware installation, security systems integration, and electronic access control installation",StockAnalysis 2026 https://stockanalysis.com/stocks/alle/company,url
AMWD,American Woodmark Corporation,doors-access,,,0.701,1.71,,,,,2026-07-23,FY2025,"Cabinetry and millwork manufacturing for residential kitchen, bath, and home remodeling trades",Stock Analysis 2026 https://stockanalysis.com/stocks/amwd,url
AOS,A. O. Smith Corporation,plumbing,USD,59.35,8.26,3.81,-23.9,-16.7,-18.1,-18.4,2026-07-23,"TTM ended Q1 2026 (March 31, 2026)","Plumbing and HVAC (manufactures residential and commercial water heaters, boilers, heat pumps, and water treatment products)",stockanalysis 2026 https://stockanalysis.com/stocks/aos/statistics,url
APG,APi Group Corporation,fire-life-safety,USD,38.95,17.38,8.17,-12.4,9.2,107.5,151.9,2026-07-23,TTM Q1 2026,"Fire protection, life safety, security systems, elevator and escalator services, specialty contracting, and infrastructure services",StockAnalysis 2026 https://stockanalysis.com/stocks/apg/statistics,url
ATKR,Atkore Inc.,electrical,USD,72.96,2.48,2.87,12.7,25.4,-52.6,-21.4,2026-07-23,"TTM (Q2 FY2026 ended March 27, 2026)","Electrical, mechanical, and piping contractors (supplies electrical conduit, cable management systems, PVC pipe, and metal framing)",Stock Analysis 2026 https://stockanalysis.com/stocks/atkr/statistics,url
