trade,state_name,state,median_hourly_wage_usd,wage_differential_vs_national_pct,median_wage_source,license_regime,license_source
hvac,Alabama,AL,22.62,-17.89,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_al.htm","State-level licensing is required in Alabama for HVAC and refrigeration contracting, regulated by the Alabama Board of Heating, Air Conditioning, and Refrigeration Contractors (HACR). Specific license tiers include Heating & Air Conditioning Contractor (Active/Inactive), Refrigeration Contractor (Active/Inactive), and Duct Air Tightness Contractor. Applicants must pass a state-administered exam via Prov and document at least 3,000 hours of apprenticeship/work experience or complete an approved curriculum.","Alabama Board of Heating, Air Conditioning, and Refrigeration Contractors (HACR), 2024, https://hacr.alabama.gov"
hvac,Alaska,AK,36.24,31.54,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023 (published April 2024), https://www.bls.gov/oes/current/oes_ak.htm","State-level registration is required for Mechanical Contractors through the Alaska Division of Corporations, Business and Professional Licensing (CBPL). Individual HVAC technicians are not licensed as journeymen at the state level; however, a contracting business must register as a Mechanical Contractor and employ or be owned by a licensed Mechanical Administrator. Specialty mechanical administrator license categories include Heating, Cooling, and Process Piping (HCPP), Unlimited HVAC/Sheet Metal (UHVCS), Unlimited Refrigeration (UR), Residential HVAC (RHVC), and Mechanical Systems Temperature Control (CNTL). Local municipalities (such as Anchorage) may impose additional local licensing requirements.","Alaska Department of Commerce, Community, and Economic Development - Division of Corporations, Business and Professional Licensing, 2024, https://www.commerce.alaska.gov/web/cbpl/ProfessionalLicensing/MechanicalAdministrators.aspx"
hvac,Arizona,AZ,23.86,-13.39,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_az.htm and https://www.bls.gov/oes/current/oes499021.htm","State-level licensing is required in Arizona for any HVAC work exceeding $1,000 in total cost or requiring a building permit, administered by the Arizona Registrar of Contractors (ROC). License classifications for HVAC contractors include Specialty Residential (R-39 / R-79 with solar), Specialty Commercial (C-39 / C-79 with solar), and Dual Residential/Commercial (CR-39 / CR-79 with solar). Individual technicians work under a licensed contractor, though local municipalities (such as the City of Phoenix) may maintain local journeyman/apprentice certifications.","Arizona Registrar of Contractors (ROC), 2024, https://roc.az.gov/license-classifications"
hvac,Arkansas,AR,22.9,-16.88,"U.S. Bureau of Labor Statistics, May 2023 State OEWS, https://www.bls.gov/oes/current/oes_ar.htm","State-level licensing is required in Arkansas and administered statewide by the Arkansas Department of Labor and Licensing (State HVAC/R Board). Tiers include Class A (unlimited capacity), Class B (up to 15 tons cooling capacity), Class C (servicing and repair only), Class D (sheet metal and ductwork), Class E (refrigeration without horsepower limits), Class L (lifetime license for applicants age 65+), and HVAC/R Registrant (entry-level technicians working under a licensed contractor).","Arkansas Department of Labor and Licensing, State HVAC/R Board (2022), https://www.labor.arkansas.gov/labor/code-enforcement/hvac-r"
hvac,California,CA,29.92,8.6,"U.S. Bureau of Labor Statistics (BLS), 2023, https://www.bls.gov/oes/current/oes_ca.htm","California requires state-level licensure through the Contractors State License Board (CSLB) for any HVAC work valued at $500 or more (labor and materials combined). The standard license classification is the Class C-20 Warm-Air Heating, Ventilating and Air-Conditioning Contractor license (and Class C-38 for Refrigeration). Applicants must be at least 18 years old, document at least 4 years of journey-level experience within the last 10 years, and pass state Law & Business and Trade examinations.","California Contractors State License Board (CSLB), 2023, https://www.cslb.ca.gov"
hvac,Colorado,CO,29.48,7.01,"U.S. Bureau of Labor Statistics, May 2023 OEWS State Occupational Employment and Wage Estimates (Colorado), published April 2024, https://www.bls.gov/oes/current/oes_co.htm","No state-level HVAC contractor license is required in Colorado. License regimes are decentralized and governed at the local municipal or county level (e.g., Denver Community Planning and Development, Pikes Peak Regional Building Department). However, state-level licensure through the Colorado Department of Regulatory Agencies (DORA) is required for any electrical or plumbing work performed as part of HVAC installations.","Colorado Department of Regulatory Agencies (DORA), Division of Professions and Occupations (2024), https://dora.colorado.gov"
hvac,Connecticut,CT,31.15,13.07,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ct.htm","State-level licensing is required in Connecticut for HVAC and refrigeration work, administered by the Department of Consumer Protection (DCP). Primary license tiers include Unlimited Heating, Piping, and Cooling Contractor (S-1) and Journeyperson (S-2), and Limited Warm Air, Air Conditioning, and Refrigeration Contractor (D-1) and Journeyperson (D-2).","Connecticut Department of Consumer Protection (DCP), 2024"
hvac,Delaware,DE,29.11,5.66,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates - Delaware, 2024, https://www.bls.gov/oes/current/oes_de.htm","Statewide licensing is required in Delaware to provide HVACR services. The Delaware Board of Plumbing, Heating, Ventilation, Air Conditioning and Refrigeration Examiners (under the Division of Professional Regulation) issues state-level licenses for Master HVACR (unrestricted) and Master HVACR Restricted (limited to specific specialties such as forced air heating, hydronics, refrigeration, air conditioning, commercial hoods, or gas piping), alongside Journeyman and registered Apprentice classifications.","Delaware Division of Professional Regulation, Board of Plumbing, Heating, Ventilation, Air Conditioning and Refrigeration Examiners, 2024"
hvac,Florida,FL,23.66,-14.12,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/2023/may/oes499021.htm","Florida requires state-level licensing for HVAC contracting under Florida Statutes Chapter 489, regulated by the Florida Department of Business and Professional Regulation (DBPR) Construction Industry Licensing Board (CILB). Licenses exist in two geographic scopes: Certified (statewide operating authority) and Registered (restricted to specific county or municipal jurisdictions where local competency requirements were met). Main contractor license tiers include Class A Air Conditioning Contractor (unlimited system size and cooling/heating capacity), Class B Air Conditioning Contractor (capped at systems up to 25 tons cooling and 500,000 BTU heating per unit), and Mechanical Contractor (unlimited HVAC scope plus broader mechanical systems including medical gas, fuel gas, and commercial refrigeration).","Florida Department of Business and Professional Regulation (DBPR), Construction Industry Licensing Board (CILB), 2024, https://www.myfloridalicense.com"
hvac,Georgia,GA,27.11,-7.57,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), 2025, https://www.bls.gov/oes/current/oes499021.htm","A state-level license is required in Georgia to perform or contract conditioned air work under O.C.G.A. § 43-14. Licenses are issued by the Georgia State Construction Industry Licensing Board, Division of Conditioned Air Contractors. Two tiers exist: Class I (Restricted), which limits work to systems not exceeding 175,000 BTU heating and 60,000 BTU cooling (requires 4 years of documented experience), and Class II (Unrestricted), which has no BTU or capacity limitations (requires 5 years of experience, including commercial system installation).","Georgia State Construction Industry Licensing Board - Division of Conditioned Air Contractors, 2024, https://sos.ga.gov/georgia-state-construction-industry-licensing-board-division-conditioned-air-contractors"
hvac,Hawaii,HI,32.53,18.08,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023 OEWS State Occupational Employment and Wage Estimates, https://www.bls.gov/oes/current/oes_hi.htm","State-level license required. Hawaii regulates contractors at the state level through the Department of Commerce and Consumer Affairs (DCCA), Professional and Vocational Licensing Division (PVL), Contractors License Board under Hawaii Revised Statutes (HRS) Chapter 444 for projects exceeding $1,500. HVAC and Refrigeration trade tiers fall under Class C Specialty Contractor licenses, specifically C-52 (Ventilating and Air Conditioning Contractor) and C-40 (Refrigeration Contractor). Qualifications require 4 years of supervisory trade experience within the past 10 years and passing business/law and trade examinations.","Hawaii DCCA Professional and Vocational Licensing Division, Contractors License Board, 2024, https://cca.hawaii.gov/pvl/boards/contractor"
