trade,segment,topic,field,value_num,value_text,source,n_sources,confidence,derived,year,shared_across
hvac,residential,bad_debt,bad_debt_write_off_pct,0.1,,"Comfort Systems USA, Inc. 2024 Form 10-K, https://www.sec.gov",1,high-primary,false,2024,5
hvac,residential,bad_debt,collection_rate_pct,85.1,,"The Level Index: Contractor Invoice Benchmarks (corroborated by CFMA 2024 Financial Benchmarking Survey), 2026, https://levelcfo.com",1,low,false,2026,23
hvac,residential,cash_cycle_detail,dso_days,56.6,,"CFMA Construction Financial Benchmarker, 2024, https://cfma.org",1,med,false,2024,11
hvac,residential,cash_cycle_detail,dpo_days,41.5,,"Comfort Systems USA, Inc. Form 10-K (2023) - https://www.sec.gov/edgar/searchedgar/companysearch",1,adjudicated,false,2023,
hvac,residential,cash_cycle_detail,cash_conversion_cycle_days,20,,"Comfort Systems USA, Inc. Financial & Investor Disclosures (2025), https://www.comfortsystemsusa.com",2,adjudicated,false,2025,
hvac,residential,cost_structure,labor_pct_of_revenue,29.4,,"IBISWorld, Heating & Air-Conditioning Contractors in the US (NAICS 23822a) Cost Structure Benchmarks, 2019, https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,high-primary,false,2019,5
hvac,residential,cost_structure,materials_pct_of_revenue,41.7,,"IBISWorld, Heating & Air-Conditioning Contractors in the US (NAICS 23822a) Cost Structure Benchmarks, 2019, https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,high-primary,false,2019,6
hvac,residential,cost_structure,sga_overhead_pct,11,,"Comfort Systems USA, Inc. Form 10-K for the Fiscal Year Ended December 31, 2023, https://www.sec.gov/ix?doc=/Archives/edgar/data/0001035985/000103598524000014/fix-20231231.htm",2,high,false,2023,
hvac,residential,demand_drivers,installed_base_units,130000000,,"Carrier Global Corporation / ACHR News, 2026 (https://www.achrnews.com) and U.S. Energy Information Administration (EIA) Residential Energy Consumption Survey, 2020/2024 (https://www.eia.gov)",2,high,false,2026,
hvac,residential,margins,gross_margin_pct,22.4,,"CFMA Construction Financial Benchmarker (Specialty Trades Segment), 2024, https://cfma.org",2,high,false,2024,9
