slug,name,trade_ai_score,resilience,leverage,quadrant,quadrant_label,res_physical_core,res_disintermediation,res_entry_barrier,res_switching_cost,lev_coordination_drag,lev_operating_leverage,lev_revenue_expansion,lev_data_amplification,scoring_basis,firmo_n_companies,firmo_revenue_median,firmo_employees_median,firmo_founded_year_median,rep_n_businesses,rep_avg_rating,rep_claimed_pct
hvac,HVAC & Refrigeration,82.3,83.4,81.3,transform-and-win,Transform & Win,90,78,80,82,80,85,78,82,"On-site repair/install AI cannot perform; heavy service-agreement lock-in; strong recurring revenue. High coordination drag (dispatch, parts, warranty) = large AI upside. Level core vertical.",14629,10800000,55,2002,42943,3.74,77.2
plumbing,Plumbing,76.5,79.9,73.1,safe-haven,Safe Haven,92,74,78,68,72,78,68,74,"Highly physical, emergency-driven, licensed. Lower recurring lock-in than HVAC. Solid but less service-agreement upside.",,,,,11748,3.92,68.7
electrical,Electrical,80.2,80.6,79.7,transform-and-win,Transform & Win,88,76,82,72,78,80,82,80,"Licensed, physical, code-bound. Controls/low-voltage adds tech-enabled revenue expansion. Strong AI upside in estimating/design.",982,10296892,59,2007,12534,4.19,74.5
roofing,Roofing,74.8,68.5,81.1,race-to-modernize,Race to Modernize,90,60,62,48,82,88,74,78,"Physical work AI cannot do, but low lock-in and easy new-entrant flow (storm chasers). Big operating-leverage upside: insurance/retail cash-cycle, closeout lag, mis-costed jobs.",11823,9900000,49,2009,22796,3.8,77.9
glass-glazing,Glass & Glazing,76.8,76.8,76.9,safe-haven,Safe Haven,88,72,74,66,80,82,70,72,"Custom fabrication + install, project-driven, PM-referral relationships. Job-costing complexity = strong AI-leverage. A vertical Level works in.",833,14233314,63,2000,,,
doors-access,Doors & Access,78.6,79.4,77.7,safe-haven,Safe Haven,86,74,76,78,78,80,76,76,"Install + recurring service/maintenance (dock, access control) = good lock-in. Commercial payment-term cash lag = operating-leverage upside. A vertical Level works in.",5083,10000000,52,2004,,,
landscaping,Landscaping & Grounds,74.9,68.9,80.9,race-to-modernize,Race to Modernize,84,58,55,70,84,86,72,78,"Physical, but highly fragmented and low entry barrier. Recurring maintenance contracts help lock-in. Crew-productivity + design-build job costing = large AI upside. A vertical Level works in.",4771,10760825,50,2004,20019,3.68,67.5
commercial-cleaning,Commercial Cleaning & Janitorial,74,68.6,79.5,race-to-modernize,Race to Modernize,82,62,48,74,86,84,66,76,"Physical/fine-motor work robots struggle with, recurring contracts, but very low entry barrier and commodity pricing. Labor-heavy, thin margins = big operating-leverage + true-cost upside. A vertical Level works in.",,,,,,,
painting,Painting & Wall Finishing,69.3,64.2,74.3,under-pressure,Under Pressure,86,58,46,52,76,82,66,70,"Physical, but lowest entry barrier and lock-in of the set. Commercial vs residential margin gap + job costing = operating-leverage upside. A vertical Level works in.",1040,9200000,49,2008,,,
concrete-masonry,Concrete & Masonry,75.5,75.7,75.3,safe-haven,Safe Haven,92,70,72,58,74,84,68,74,"Heavy physical, capital + skill barrier. Project-based, WIP/retainage complexity = strong operating-leverage upside. Low recurring lock-in.",12514,12800000,59,2002,,,
fire-life-safety,Fire & Life Safety,81.7,83.4,79.9,transform-and-win,Transform & Win,84,80,84,86,80,78,80,82,Code-mandated recurring inspection = exceptional lock-in + entry barrier. Compliance recurring revenue. Strong AI upside in scheduling/compliance tracking.,2986,13344398,61,2000,963,3.51,71.9
low-voltage-security,Low-Voltage & Security,76.3,72.2,80.3,race-to-modernize,Race to Modernize,72,68,70,80,78,76,86,84,"More tech-exposed than pure trades (some remote/monitoring), but recurring monitoring contracts = strong lock-in and revenue expansion. High data-amplification.",3512,10000000,54,2009,,,
restoration,Restoration & Remediation,76.8,70.5,83.1,race-to-modernize,Race to Modernize,86,64,66,56,88,86,74,80,"Emergency physical work, insurance-driven. Very high coordination drag (insurance docs, adjusters, closeout) + cash-cycle pain = large AI + operating-leverage upside. Low lock-in.",18438,10300000,52,2008,,,
